Date,SPY Price,Call Option Premium,Randomized Call Option Premium
2023-01-03,380.8200073242188,4.085251697244196,3.376203193567502
2023-01-04,383.760009765625,4.370433194808349,4.448566567114078
2023-01-05,379.3800048828125,3.9122907887097185,4.3175338457675885
2023-01-06,388.0799865722656,4.8068430464316165,5.155538854235933
2023-01-09,387.8599853515625,4.728739929361552,4.328102304745947
2023-01-10,390.5799865722656,5.021167292697896,5.281458043749662
2023-01-11,395.5199890136719,5.602820109837225,5.800568089025417
2023-01-12,396.9599914550781,5.766921841504313,6.16602723645651
2023-01-13,398.5,5.94779599891875,6.726378902830128
2023-01-17,397.7699890136719,5.7694742261275,5.669978618731316
2023-01-18,391.489990234375,4.978928915900596,5.1747252097343805
2023-01-19,388.6400146484375,4.638267644832794,4.544636909458047
2023-01-20,395.8800048828125,5.468857893960653,5.849732959552613
2023-01-23,400.6300048828125,6.020669983614056,6.938859214966218
2023-01-24,400.2000122070313,5.942250107020399,4.6497374862338
2023-01-25,400.3500061035156,5.94103357539084,6.791010658663259
2023-01-26,404.75,6.522886376172231,6.083664706116264
2023-01-27,405.6799926757813,6.63304949110514,7.425929646561181
2023-01-30,400.5899963378906,5.867361313338549,5.203068646424225
2023-01-31,406.4800109863281,6.656759255861743,5.701435999870317
2023-02-01,410.7999877929688,6.005434451220069,7.148291147453638
2023-02-02,416.7799987792969,6.843343459549686,7.41366062837227
2023-02-03,412.3500061035156,6.176671534696524,5.919348227899876
2023-02-06,409.8299865722656,5.76809225271068,6.004646844027708
2023-02-07,415.1900024414063,6.492221216838736,5.816245014570045
2023-02-08,410.6499938964844,5.83553081928536,5.622018479290039
2023-02-09,407.0899963378906,5.351409456024747,4.760092452150789
2023-02-10,408.0400085449219,5.451837298952341,5.747145730408941
2023-02-13,412.8299865722656,6.024484082767266,6.0320729783802856
2023-02-14,412.6400146484375,5.976630836502615,5.371793503679271
2023-02-15,413.9800109863281,6.140050920008939,6.753197900242591
2023-02-16,408.2799987792969,5.360776717069932,5.711342656101411
2023-02-17,407.260009765625,5.213125976050158,5.542171230814174
2023-02-21,399.0899963378906,4.203533819135025,4.443774083737758
2023-02-22,398.5400085449219,4.128847437926467,4.0402880256205576
2023-02-23,400.6600036621094,4.336397351290678,4.577925500705673
2023-02-24,396.3800048828125,3.8760490680884914,3.7277540649818306
2023-02-27,397.7300109863281,3.9619824465430966,3.6134203624310977
2023-02-28,396.260009765625,3.799514852930862,3.69742238455886
2023-03-01,394.739990234375,4.257419807136181,3.5845651570598793
2023-03-02,397.80999755859375,4.570489240960853,3.9850100883746835
2023-03-03,404.1900024414063,5.2982036376661625,5.107266940680386
2023-03-06,404.4700012207031,5.271787174019863,4.952956699151084
2023-03-07,398.2699890136719,4.529654392774496,4.4737496210746714
2023-03-08,398.9200134277344,4.583123311882126,4.68309128613046
2023-03-09,391.55999755859375,3.802679101869991,3.3475585954009093
2023-03-10,385.9100036621094,3.2718575242847407,3.3092572000039127
2023-03-13,385.3599853515625,3.181607114481281,3.3173077936448783
2023-03-14,391.7300109863281,3.7381140733175258,4.27588611757645
2023-03-15,389.2799987792969,3.4945984210894885,2.8735500897289987
2023-03-16,396.1099853515625,4.138966137911879,3.2009440727106515
2023-03-17,389.989990234375,3.528268168183473,2.6074770127583
2023-03-20,393.739990234375,3.833791116902404,3.72446349018224
2023-03-21,398.9100036621094,4.344380330984187,3.979806360782893
2023-03-22,392.1099853515625,3.6456056743655836,3.6204307197319805
2023-03-23,393.1700134277344,3.729690348105187,3.6266088276910327
2023-03-24,395.75,3.96493922422853,3.4885238919099493
2023-03-27,396.489990234375,3.987851080695343,4.430968160965996
2023-03-28,395.6000061035156,3.8823886110215255,4.032976209524478
2023-03-29,401.3500061035156,4.461668946275935,4.129592782786659
2023-03-30,403.7000122070313,4.704905829364215,5.181451056300384
2023-03-31,409.3900146484375,5.365348150938075,5.2754812575088055
